Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-01-31 00:00:00-05:00,4443.75,4531.25,3968.75,4062.5,5017,0.0,0.0
2014-02-03 00:00:00-05:00,4062.5,4200.0,4037.5,4118.75,98,0.0,0.0
2014-02-04 00:00:00-05:00,4062.5,4375.0,4062.5,4112.5,78,0.0,0.0
2014-02-05 00:00:00-05:00,4293.75,4500.0,4056.25,4187.5,313,0.0,0.0
2014-02-06 00:00:00-05:00,4131.25,4337.5,4062.5,4306.25,110,0.0,0.0
2014-02-07 00:00:00-05:00,4437.5,4443.75,4206.25,4387.5,110,0.0,0.0
2014-02-10 00:00:00-05:00,4387.5,4506.25,4281.25,4506.25,35,0.0,0.0
2014-02-11 00:00:00-05:00,4468.75,4718.75,4468.75,4718.75,57,0.0,0.0
2014-02-12 00:00:00-05:00,4725.0,4750.0,4281.25,4468.75,73,0.0,0.0
2014-02-13 00:00:00-05:00,4525.0,4543.75,4393.75,4481.25,54,0.0,0.0
2014-02-14 00:00:00-05:00,4525.0,4525.0,4068.75,4306.25,152,0.0,0.0
2014-02-18 00:00:00-05:00,4218.75,4443.75,4218.75,4343.75,48,0.0,0.0
2014-02-19 00:00:00-05:00,4456.25,4456.25,4375.0,4437.5,13,0.0,0.0
2014-02-20 00:00:00-05:00,4612.5,4712.5,4506.25,4625.0,163,0.0,0.0
2014-02-21 00:00:00-05:00,4662.5,5118.75,4481.25,4625.0,139,0.0,0.0
2014-02-24 00:00:00-05:00,5537.5,5612.5,4631.25,5143.75,596,0.0,0.0
2014-02-25 00:00:00-05:00,5000.0,5000.0,4731.25,4856.25,300,0.0,0.0
2014-02-26 00:00:00-05:00,5125.0,5268.75,4756.25,4981.25,665,0.0,0.0
2014-02-27 00:00:00-05:00,5031.25,5056.25,4950.0,5000.0,344,0.0,0.0
2014-02-28 00:00:00-05:00,5000.0,5050.0,4843.75,4987.5,130,0.0,0.0
2014-03-03 00:00:00-05:00,4862.5,5300.0,4843.75,5112.5,135,0.0,0.0
2014-03-04 00:00:00-05:00,5287.5,5981.25,5150.0,5793.75,238,0.0,0.0
2014-03-05 00:00:00-05:00,5906.25,6218.75,5625.0,6025.0,170,0.0,0.0
2014-03-06 00:00:00-05:00,6100.0,6212.5,5662.5,5781.25,94,0.0,0.0
2014-03-07 00:00:00-05:00,5893.75,5950.0,5331.25,5712.5,173,0.0,0.0
2014-03-10 00:00:00-04:00,5631.25,5925.0,5512.5,5725.0,183,0.0,0.0
2014-03-11 00:00:00-04:00,5812.5,6025.0,5496.875,5806.25,337,0.0,0.0
2014-03-12 00:00:00-04:00,5775.0,5925.0,5612.5,5806.25,131,0.0,0.0
2014-03-13 00:00:00-04:00,5881.25,6012.5,5681.25,5800.0,119,0.0,0.0
2014-03-14 00:00:00-04:00,5781.25,5912.5,5600.0,5668.75,193,0.0,0.0
2014-03-17 00:00:00-04:00,5712.5,5756.25,5206.25,5281.25,201,0.0,0.0
2014-03-18 00:00:00-04:00,5350.0,5506.25,5184.375,5443.75,227,0.0,0.0
2014-03-19 00:00:00-04:00,5543.75,5606.25,5096.875,5262.5,373,0.0,0.0
2014-03-20 00:00:00-04:00,5337.5,5400.0,5050.0,5237.5,121,0.0,0.0
2014-03-21 00:00:00-04:00,5281.25,5281.25,4887.5,4893.75,505,0.0,0.0
2014-03-24 00:00:00-04:00,4918.75,4931.25,4512.5,4531.25,197,0.0,0.0
2014-03-25 00:00:00-04:00,4618.75,4675.0,4263.125,4362.5,216,0.0,0.0
2014-03-26 00:00:00-04:00,4400.0,4621.875,4181.875,4450.0,137,0.0,0.0
2014-03-27 00:00:00-04:00,4443.75,4581.25,3801.875,4181.25,318,0.0,0.0
2014-03-28 00:00:00-04:00,4175.0,4825.0,3881.25,4656.25,228,0.0,0.0
2014-03-31 00:00:00-04:00,4681.25,4962.5,4575.0,4912.5,1478,0.0,0.0
2014-04-01 00:00:00-04:00,4781.25,4843.75,4256.25,4731.25,150,0.0,0.0
2014-04-02 00:00:00-04:00,4718.75,4887.5,4684.375,4768.75,222,0.0,0.0
2014-04-03 00:00:00-04:00,4756.25,4775.0,4506.25,4531.25,92,0.0,0.0
2014-04-04 00:00:00-04:00,4537.5,4593.75,4325.0,4337.5,165,0.0,0.0
2014-04-07 00:00:00-04:00,4306.25,4325.0,3906.25,4006.25,236,0.0,0.0
2014-04-08 00:00:00-04:00,4012.5,4012.5,3600.0,3862.5,226,0.0,0.0
2014-04-09 00:00:00-04:00,3862.5,3862.5,3750.0,3775.0,130,0.0,0.0
2014-04-10 00:00:00-04:00,3750.0,3759.375,3481.25,3625.0,155,0.0,0.0
2014-04-11 00:00:00-04:00,3587.5,3762.5,3487.5,3568.75,237,0.0,0.0
2014-04-14 00:00:00-04:00,3612.5,3681.25,3306.25,3350.0,137,0.0,0.0
2014-04-15 00:00:00-04:00,3406.25,3406.25,3006.25,3106.25,136,0.0,0.0
2014-04-16 00:00:00-04:00,3156.25,3212.5,2962.5,3187.5,79,0.0,0.0
2014-04-17 00:00:00-04:00,3187.5,3443.75,3187.5,3368.75,85,0.0,0.0
2014-04-21 00:00:00-04:00,3418.75,3887.5,3256.25,3600.0,118,0.0,0.0
2014-04-22 00:00:00-04:00,3587.5,3750.0,3506.25,3656.25,128,0.0,0.0
2014-04-23 00:00:00-04:00,3662.5,3662.5,3437.5,3475.0,101,0.0,0.0
2014-04-24 00:00:00-04:00,3512.5,3593.75,3387.5,3431.25,165,0.0,0.0
2014-04-25 00:00:00-04:00,3425.0,3593.75,3187.5,3225.0,130,0.0,0.0
2014-04-28 00:00:00-04:00,3250.0,3250.0,2993.75,3087.5,82,0.0,0.0
2014-04-29 00:00:00-04:00,3118.75,3193.75,3031.25,3087.5,84,0.0,0.0
2014-04-30 00:00:00-04:00,3075.0,3612.5,3075.0,3131.25,129,0.0,0.0
2014-05-01 00:00:00-04:00,3143.75,3143.75,3012.5,3075.0,45,0.0,0.0
2014-05-02 00:00:00-04:00,3093.75,3125.0,2975.0,3087.5,65,0.0,0.0
2014-05-05 00:00:00-04:00,3006.25,3168.75,2987.5,3087.5,60,0.0,0.0
2014-05-06 00:00:00-04:00,3087.5,3125.0,3037.5,3100.0,190,0.0,0.0
2014-05-07 00:00:00-04:00,3006.25,3125.0,3006.25,3050.0,25,0.0,0.0
2014-05-08 00:00:00-04:00,3081.25,3081.25,2968.75,2968.75,44,0.0,0.0
2014-05-09 00:00:00-04:00,2887.5,3012.5,2812.5,2950.0,149,0.0,0.0
2014-05-12 00:00:00-04:00,2981.25,3012.5,2862.5,2918.75,39,0.0,0.0
2014-05-13 00:00:00-04:00,2918.75,3075.0,2875.0,2993.75,119,0.0,0.0
2014-05-14 00:00:00-04:00,2975.0,3062.5,2912.5,2987.5,156,0.0,0.0
2014-05-15 00:00:00-04:00,2987.5,3170.0,2900.0,3000.0,53,0.0,0.0
2014-05-16 00:00:00-04:00,2987.5,2987.5,2756.25,2787.5,64,0.0,0.0
2014-05-19 00:00:00-04:00,2934.375,2934.375,2662.5,2725.0,44,0.0,0.0
2014-05-20 00:00:00-04:00,2668.75,2781.25,2656.25,2756.25,99,0.0,0.0
2014-05-21 00:00:00-04:00,2858.75,2858.75,2668.75,2731.25,86,0.0,0.0
2014-05-22 00:00:00-04:00,2681.25,2856.25,2668.75,2787.5,51,0.0,0.0
2014-05-23 00:00:00-04:00,2800.0,2825.0,2750.0,2787.5,34,0.0,0.0
2014-05-27 00:00:00-04:00,2825.0,2862.5,2762.5,2862.5,32,0.0,0.0
2014-05-28 00:00:00-04:00,2881.25,2881.25,2812.5,2843.75,46,0.0,0.0
2014-05-29 00:00:00-04:00,2812.5,2831.25,2806.25,2831.25,40,0.0,0.0
