Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2011-01-27 00:00:00-05:00,58.06935743963508,58.06935743963508,57.36939765468011,57.86027908325195,16700,0.0,0.0,0.0
2011-01-28 00:00:00-05:00,57.79664148677204,57.88754390563888,56.52398681640625,56.52398681640625,13000,0.0,0.0,0.0
2011-01-31 00:00:00-05:00,56.405810475595906,57.24212728727318,56.36944812123929,57.005775451660156,9100,0.0,0.0,0.0
2011-02-01 00:00:00-05:00,57.596653612930645,58.305702209472656,57.33303173606576,58.305702209472656,7100,0.0,0.0,0.0
2011-02-02 00:00:00-05:00,58.29661952989976,58.323896502702816,58.15117701867349,58.21480941772461,2000,0.0,0.0,0.0
2011-02-03 00:00:00-05:00,58.07844650316529,58.36024610865748,57.542113859147655,58.323890686035156,13900,0.0,0.0,0.0
2011-02-04 00:00:00-05:00,58.43296664911415,58.70568084716797,58.26024719465271,58.70568084716797,2000,0.0,0.0,0.0
2011-02-07 00:00:00-05:00,58.92386269131401,59.723813903490175,58.86932261231005,59.287479400634766,5400,0.0,0.0,0.0
2011-02-08 00:00:00-05:00,59.223830257549544,59.56016989689292,59.060203131373605,59.5419921875,63800,0.0,0.0,0.0
2011-02-09 00:00:00-05:00,59.37836388642574,59.814705192731154,59.169282087789654,59.396541595458984,57300,0.0,0.0,0.0
2011-02-10 00:00:00-05:00,59.2692728940714,59.8692412835132,59.2692728940714,59.61471176147461,3800,0.0,0.0,0.0
2011-02-11 00:00:00-05:00,59.75108269233367,60.432861328125,59.75108269233367,60.432861328125,4500,0.0,0.0,0.0
2011-02-14 00:00:00-05:00,60.505573589745154,60.95100725130618,60.505573589745154,60.86919021606445,4400,0.0,0.0,0.0
2011-02-15 00:00:00-05:00,60.72375076929385,60.72375076929385,60.36013412475586,60.36013412475586,30800,0.0,0.0,0.0
2011-02-16 00:00:00-05:00,60.79645211415715,61.02371158862972,60.751004380507894,60.97826385498047,5600,0.0,0.0,0.0
