Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2009-01-02 00:00:00-05:00,25.436274150861156,25.803142547607422,25.41996847411823,25.803142547607422,10585,0.0,0.0,0.0
2009-01-05 00:00:00-05:00,25.8439031744417,26.55318290997356,25.794986150960757,26.316755294799805,18373,0.0,0.0,0.0
2009-01-06 00:00:00-05:00,28.45275247301685,29.920148132044684,26.072176827491628,26.602100372314453,18022,0.0,0.0,0.0
2009-01-07 00:00:00-05:00,26.17815981913854,26.210771165749634,25.713459014892578,25.713459014892578,22079,0.0,0.0,0.0
2009-01-08 00:00:00-05:00,25.23245373022427,26.055870056152344,25.053094425373086,26.055870056152344,49043,0.0,0.0,0.0
2009-01-09 00:00:00-05:00,25.990655602611117,25.990655602611117,25.542260335093935,25.640092849731445,9704,0.0,0.0,0.0
2009-01-12 00:00:00-05:00,25.477043113693913,25.477043113693913,24.30306053161621,24.30306053161621,6971,0.0,0.0,0.0
2009-01-13 00:00:00-05:00,23.7584562361786,24.18891611906626,23.62638275211268,23.87911605834961,3548,0.0,0.0,0.0
2009-01-14 00:00:00-05:00,23.67529890982935,23.67529890982935,22.827422471628527,22.95786476135254,36203,0.0,0.0,0.0
2009-01-15 00:00:00-05:00,22.83557970917557,23.267670849015392,22.23228361420745,23.218753814697266,42931,0.0,0.0,0.0
2009-01-16 00:00:00-05:00,23.447024860995512,23.756824920061728,23.023086628593493,23.504093170166016,30340,0.0,0.0,0.0
2009-01-20 00:00:00-05:00,23.08015321032943,23.08015321032943,22.09368324279785,22.09368324279785,9086,0.0,0.0,0.0
2009-01-21 00:00:00-05:00,22.14259963861511,22.566537857055664,21.596454382844687,22.566537857055664,14201,0.0,0.0,0.0
2009-01-22 00:00:00-05:00,22.338265154213968,22.338265154213968,21.792037432828305,22.101839065551758,12696,0.0,0.0,0.0
2009-01-23 00:00:00-05:00,21.531149857724774,22.101836015030752,21.19689131144389,22.004003524780273,10301,0.0,0.0,0.0
2009-01-26 00:00:00-05:00,22.158908447888464,22.42794590245465,22.158908447888464,22.30565643310547,53701,0.0,0.0,0.0
2009-01-27 00:00:00-05:00,22.908951441180868,23.06385225788672,22.485013182299014,22.974172592163086,6898,0.0,0.0,0.0
2009-01-28 00:00:00-05:00,23.626381209490976,23.626381209490976,22.868184450274242,23.53670310974121,16651,0.0,0.0,0.0
2009-01-29 00:00:00-05:00,23.259516953899354,23.259516953899354,22.74589900184441,22.819272994995117,6797,0.0,0.0,0.0
2009-01-30 00:00:00-05:00,23.12906721448339,23.12906721448339,22.39532751869869,22.47685432434082,6445,0.0,0.0,0.0
2009-02-02 00:00:00-05:00,21.800185620650822,22.020307540893555,21.588216536897956,22.020307540893555,27105,0.0,0.0,0.0
2009-02-03 00:00:00-05:00,22.158904384824776,22.158904384824776,22.09368324279785,22.09368324279785,2222,0.0,0.0,0.0
2009-02-04 00:00:00-05:00,22.754052239145583,23.047548216890036,22.411640783442056,22.67252540588379,6276,0.0,0.0,0.0
2009-02-05 00:00:00-05:00,22.362726634320396,22.900801588828696,21.98770380102955,22.50132179260254,9340,0.0,0.0,0.0
2009-02-06 00:00:00-05:00,23.112767972127237,23.707911175387846,23.112767972127237,23.577468872070312,7541,0.0,0.0,0.0
